# stim_pool manifest  all L-pairs kept  foils 1-260 (A only)
kind,id
l1,001
l1,002
l1,003
l1,004
l1,005
l1,006
l1,007
l1,008
l1,009
l1,010
l1,011
l1,012
l1,013
l1,014
l1,015
l1,016
l1,017
l1,018
l1,019
l1,020
l1,021
l1,022
l1,023
l1,024
l1,025
l1,026
l1,027
l1,028
l1,029
l1,030
l1,031
l1,032
l1,033
l1,034
l1,035
l1,036
l1,037
l1,038
l1,039
l1,040
l1,041
l1,042
l1,043
l1,044
l1,045
l1,046
l1,047
l1,048
l1,049
l1,050
l1,051
l1,052
l1,053
l1,054
l1,055
l1,056
l1,057
l1,058
l1,059
l1,060
l1,061
l1,062
l1,063
l1,064
l1,065
l1,066
l1,067
l1,068
l1,069
l1,070
l1,071
l1,072
l1,073
l1,074
l1,075
l1,076
l1,077
l1,078
l1,079
l1,080
l1,081
l1,082
l1,083
l1,084
l1,085
l1,086
l1,087
l1,088
l1,089
l1,090
l1,091
l1,092
l1,093
l1,094
l1,095
l1,096
l1,097
l1,098
l1,099
l1,100
l1,101
l1,102
l1,103
l1,104
l1,105
l1,106
l1,107
l1,108
l1,109
l1,110
l1,111
l1,112
l1,113
l1,114
l1,115
l1,116
l1,117
l1,118
l1,119
l1,120
l1,121
l1,122
l1,123
l1,124
l1,125
l1,126
l1,127
l1,128
l1,129
l1,130
l1,131
l1,132
l1,133
l1,134
l1,135
l1,136
l1,137
l1,138
l1,139
l1,140
l1,141
l1,142
l1,143
l1,144
l1,145
l1,146
l1,147
l1,148
l1,149
l1,150
l1,151
l1,152
l1,153
l1,154
l1,155
l1,156
l1,157
l1,158
l1,159
l1,160
l1,161
l1,162
l1,163
l1,164
l1,165
l1,166
l1,167
l1,168
l1,169
l1,170
l1,171
l1,172
l1,173
l1,174
l1,175
l1,176
l1,177
l1,178
l1,179
l1,180
l2,181
l2,182
l2,183
l2,184
l2,185
l2,186
l2,187
l2,188
l2,189
l2,190
l2,191
l2,192
l2,193
l2,194
l2,195
l2,196
l2,197
l2,198
l2,199
l2,200
l2,201
l2,202
l2,203
l2,204
l2,205
l2,206
l2,207
l2,208
l2,209
l2,210
l2,211
l2,212
l2,213
l2,214
l2,215
l2,216
l2,217
l2,218
l2,219
l2,220
l2,221
l2,222
l2,223
l2,224
l2,225
l2,226
l2,227
l2,228
l2,229
l2,230
l2,231
l2,232
l2,233
l2,234
l2,235
l2,236
l2,237
l2,238
l2,239
l2,240
l2,241
l2,242
l2,243
l2,244
l2,245
l2,246
l2,247
l2,248
l2,249
l2,250
l2,251
l2,252
l2,253
l2,254
l2,255
l2,256
l2,257
l2,258
l2,259
l2,260
l2,261
l2,262
l2,263
l2,264
l2,265
l2,266
l2,267
l2,268
l2,269
l2,270
l2,271
l2,272
l2,273
l2,274
l2,275
l2,276
l2,277
l2,278
l2,279
l2,280
l2,281
l2,282
l2,283
l2,284
l2,285
l2,286
l2,287
l2,288
l2,289
l2,290
l2,291
l2,292
l2,293
l2,294
l2,295
l2,296
l2,297
l2,298
l2,299
l2,300
l2,301
l2,302
l2,303
l2,304
l2,305
l2,306
l2,307
l2,308
l2,309
l2,310
l2,311
l2,312
l2,313
l2,314
l2,315
l2,316
l2,317
l2,318
l2,319
l2,320
l2,321
l2,322
l2,323
l2,324
l2,325
l2,326
l2,327
l2,328
l2,329
l2,330
l2,331
l2,332
l2,333
l2,334
l2,335
l2,336
l2,337
l2,338
l2,339
l2,340
l2,341
l2,342
l2,343
l2,344
l2,345
l2,346
l2,347
l2,348
l2,349
l2,350
l2,351
l2,352
l2,353
